movie_name,cosine_time_ms,lsh_time_ms,overlap_count,overlap_titles
Avatar,8.230100000218954,11.676900001475587,0,
The Dark Knight,7.180799999332521,6.531400002131704,1,Batman Forever
Inception,7.1852000037324615,7.694899999478366,0,
Titanic,9.184599999571219,3.7756000019726343,0,
Interstellar,5.867600004421547,3.6336000048322603,0,
The Avengers,26.170000004640315,7.930599997052923,2,"Avengers: Age of Ultron, Iron Man 3"
Iron Man,7.336800001212396,3.4487999946577474,3,"Captain America: Civil War, Iron Man 2, Iron Man 3"
The Matrix,5.531100003281608,3.779999999096617,2,"Hackers, The Matrix Reloaded"
The Godfather,6.070800001907628,5.259400000795722,1,The Godfather: Part III
Fight Club,7.728700002189726,4.697000003943685,0,
Gladiator,4.920899998978712,4.597799998009577,0,
Toy Story,5.961700000625569,9.447999997064471,1,Toy Story 2
The Lion King,7.550100002845284,9.268599998904392,0,
Shrek,7.7382000017678365,3.3707000038702972,0,
Pirates of the Caribbean: The Curse of the Black Pearl,8.833700005197898,3.8260000001173466,1,Pirates of the Caribbean: At World's End
The Lord of the Rings: The Fellowship of the Ring,6.8061999991186894,3.857900002913084,1,The Hobbit: An Unexpected Journey
The Lord of the Rings: The Two Towers,5.33010000071954,5.969300000288058,2,"The Hobbit: The Desolation of Smaug, The Lord of the Rings: The Return of the King"
The Lord of the Rings: The Return of the King,9.224599998560734,2.8348999985610135,1,The Lord of the Rings: The Two Towers
Star Wars,5.959199996141251,3.1058000022312626,2,"Star Wars: Episode I - The Phantom Menace, The Empire Strikes Back"
The Shawshank Redemption,4.721000004792586,9.474099999351893,0,
